Timestamp,relative_humidity,wind_speed,visibility,pressure,snow,solar_radiation,wind_direction,temperature,precipitation,cloud_coverage,hour,day,month,year,weekend,holiday,PM10,O3,CO,NO2,SO2
2019-01-01 00:00:00,85.0,4.0,0.5,991.6,0.0,0.0,180,4.1,0.0,70,0,1,1,2019,0,1,,2.4882344367123217,0.2456092990884344,2.993088821468487,1.1145512170533225
2019-01-01 01:00:00,84.0,4.0,0.5,994.3,0.0,0.0,30,2.6,0.0,70,1,1,1,2019,0,1,,3.0174937914635667,0.14045735669375994,2.520989419818607,1.2604476371935054
2019-01-01 02:00:00,83.0,4.4,5.0,995.1,0.0,0.0,60,2.2,0.0,71,2,1,1,2019,0,1,,2.9517803541360115,0.16041671714117714,2.7431019788214246,1.2828209746425339
2019-01-01 03:00:00,84.0,4.4,5.0,995.15,0.0,0.0,125,2.0,0.0,73,3,1,1,2019,0,1,,2.9642415631585224,0.20863885969272394,2.802760195189988,1.2528772666418666
2019-01-01 04:00:00,84.0,4.0,5.0,995.2,0.0,0.0,110,1.6,0.0,73,4,1,1,2019,0,1,,2.870169015978216,0.22729492133500656,2.8753483476984645,1.2375623246932284
2019-01-01 05:00:00,86.0,4.0,5.0,995.7,0.0,0.0,150,1.1,0.0,71,5,1,1,2019,0,1,,2.8981194110402666,0.16041671714117714,2.7613760925181663,1.2754186527338225
2019-01-01 06:00:00,86.0,4.0,0.5,992.6,0.0,0.0,165,0.9,0.0,67,6,1,1,2019,0,1,,3.0502204985744896,0.10975086096820512,2.51328351243601,1.4644121514089792
2019-01-01 07:00:00,85.0,4.0,0.5,992.55,0.0,81.389,195,1.4,0.0,61,7,1,1,2019,0,1,,2.5771819143023467,0.09930220240152825,2.816563756905261,1.7278251830927174
2019-01-01 08:00:00,83.0,4.4,1.0,992.85,0.0,226.255,95,4.2,0.0,26,8,1,1,2019,0,1,,2.9846713609086963,0.13032626339171924,2.7294854693762804,1.9322747516231829
2019-01-01 09:00:00,77.0,4.8,1.5,992.95,0.0,333.038,340,5.9,0.0,3,9,1,1,2019,0,1,,3.222867861335735,0.12009147964464743,2.451048209839161,1.6389190473861623
2019-01-01 10:00:00,59.0,4.8,5.0,992.0,0.0,392.91,350,6.3,0.0,1,10,1,1,2019,0,1,,3.3998631280906957,0.09930220240152825,2.197546761384497,1.5913146984134545
2019-01-01 11:00:00,53.0,4.8,5.0,991.15,0.0,399.94,345,7.3,0.0,0,11,1,1,2019,0,1,,3.567841086987133,0.12009147964464743,2.1586107975085684,1.6593702891658844
2019-01-01 12:00:00,55.0,4.8,5.0,990.25,0.0,353.27,335,7.8,0.0,0,12,1,1,2019,0,1,,3.886910270190043,0.056380331858669024,2.171758637272558,1.4204058679828753
2019-01-01 13:00:00,57.0,4.4,1.5,990.05,0.0,258.776,325,7.3,0.0,9,13,1,1,2019,0,1,,3.968403367708845,0.07807153877195201,2.481851979620398,
2019-01-01 14:00:00,57.0,4.0,0.5,989.75,0.0,126.26899999999999,345,5.8,0.0,41,14,1,1,2019,0,1,,3.917209498719767,0.15048683950924646,2.769791083189254,1.123239863207244
2019-01-01 15:00:00,65.0,4.4,1.0,989.45,0.0,8.12653,335,4.6,0.0,36,15,1,1,2019,0,1,,4.019261753356316,0.06728474771950453,2.683579874824303,1.0699384263823817
2019-01-01 16:00:00,73.0,4.0,1.5,989.65,0.0,0.0,360,4.0,0.0,3,16,1,1,2019,0,1,,3.811981688349307,0.14045735669375994,3.1488309606731506,1.0607719528456303
2019-01-01 17:00:00,75.0,4.0,5.0,989.7,0.0,0.0,240,2.5,0.0,1,17,1,1,2019,0,1,,3.784189633918261,0.179985497235383,2.967877900972734,
2019-01-01 18:00:00,79.0,3.6,1.5,989.85,0.0,0.0,145,1.2,0.0,4,18,1,1,2019,0,1,,3.7936897772448783,0.170248973568842,2.9308683821064285,
2019-01-01 19:00:00,81.0,3.2,1.5,992.9,0.0,0.0,40,0.1,0.0,6,19,1,1,2019,0,1,,3.286160563114267,0.5418590751107368,3.5933069699370725,1.3743735908032635
2019-01-01 20:00:00,80.0,3.2,5.0,992.3,0.0,0.0,0,-0.5,0.0,1,20,1,1,2019,0,1,,1.2354714880191613,1.2964790473035583,4.065598677789769,1.482694841376489
2019-01-01 21:00:00,82.0,2.8,5.0,989.1,0.0,0.0,210,-1.3,0.0,1,21,1,1,2019,0,1,,1.7884205711520866,1.6792624234866176,4.222630762911381,1.6941834246658356
2019-01-01 22:00:00,84.0,2.8,5.0,991.25,0.0,0.0,0,-1.2,0.0,1,22,1,1,2019,0,1,,1.761300291238428,1.7780661101264346,4.224588853659437,1.5967173486428852
2019-01-01 23:00:00,85.0,3.2,5.0,990.75,0.0,0.0,0,-1.9,0.0,1,23,1,1,2019,0,1,,1.846878792516625,1.8892490768945756,4.103216729331707,1.574929277917147
2019-01-02 00:00:00,86.0,3.2,1.5,986.9,0.0,0.0,135,-4.0,0.0,13,0,2,1,2019,0,0,,1.7263316435424467,1.6618025912262275,3.878048340433536,1.5124423293324283
2019-01-02 01:00:00,88.0,3.6,1.5,987.3,0.0,0.0,0,-4.6,0.0,4,1,2,1,2019,0,0,,1.4770487505164178,1.4409719484149606,3.745101483111904,1.2528772666418666
2019-01-02 02:00:00,88.0,3.6,1.5,987.7,0.0,0.0,0,-4.9,0.0,4,2,2,1,2019,0,0,,1.6448050231321292,1.4354654229214814,3.5618242380977008,1.0136351958771046
2019-01-02 03:00:00,88.0,3.2,1.0,988.15,0.0,0.0,140,-5.5,0.0,23,3,2,1,2019,0,0,,1.5432981241939148,1.401773957228063,3.4651106930917472,0.6717192318796957
2019-01-02 04:00:00,86.0,3.2,1.5,987.0,0.0,0.0,0,-5.8,0.0,13,4,2,1,2019,0,0,,1.3812818240886795,1.283707743285461,3.3166520416470453,0.37307964487747214
2019-01-02 05:00:00,87.0,3.2,1.5,985.85,0.0,0.0,0,-6.5,0.0,3,5,2,1,2019,0,0,,1.2178757433531866,1.1644000280155082,3.2662173171023414,0.426574074742165
