,rh,wind_spd,timestamp_utc,vis,slp,pod,dni,elev_angle,pres,h_angle,dewpt,snow,uv,solar_rad,wind_dir,ghi,dhi,app_temp,azimuth,temp,precip,clouds
2019-01-01 00:00:00,85.0,4.0,2019-01-01T00:00:00,0.5,1025.05,n,0.0,-64.41,991.6,,0.0,0.0,0.0,0.0,180,0.0,0.0,0.8,48.64,4.1,0.0,70
2019-01-01 01:00:00,84.0,4.0,2019-01-01T01:00:00,0.5,1024.0,n,0.0,-54.87,994.3,-90.0,-1.3,0.0,0.0,0.0,30,0.0,0.0,-1.1,68.64,2.6,0.0,70
2019-01-01 02:00:00,83.0,4.4,2019-01-01T02:00:00,5.0,1025.0,n,0.0,-44.09,995.1,-90.0,-1.1,0.0,0.0,0.0,60,0.0,0.0,-1.8,82.01,2.2,0.0,71
2019-01-01 03:00:00,84.0,4.4,2019-01-01T03:00:00,5.0,1024.95,n,0.0,-32.98,995.15,-90.0,-0.1,0.0,0.0,0.0,125,0.0,0.0,-2.0,92.5,2.0,0.0,73
2019-01-01 04:00:00,84.0,4.0,2019-01-01T04:00:00,5.0,1025.15,n,0.0,-21.94,995.2,-90.0,-1.1,0.0,0.0,0.0,110,0.0,0.0,-2.3,101.84,1.6,0.0,73
2019-01-01 05:00:00,86.0,4.0,2019-01-01T05:00:00,5.0,1025.8,n,0.0,-11.26,995.7,-90.0,-2.1,0.0,0.0,0.0,150,0.0,0.0,-2.9,110.97,1.1,0.0,71
2019-01-01 06:00:00,86.0,4.0,2019-01-01T06:00:00,0.5,1026.45,n,0.0,-1.23,992.6,,-3.0,0.0,0.0,0.0,165,0.0,0.0,-3.1,120.51,0.9,0.0,67
2019-01-01 07:00:00,85.0,4.0,2019-01-01T07:00:00,0.5,1026.35,d,425.0,7.82,992.55,-90.0,-3.1,0.0,1.3,81.389,195,95.85,47.19,-2.6,130.95,1.4,0.0,61
2019-01-01 08:00:00,83.0,4.4,2019-01-01T08:00:00,1.0,1026.3,d,623.73,15.45,992.85,-72.0,-0.1,0.0,2.5,226.255,95,228.15,69.64,0.6,142.69,4.2,0.0,26
2019-01-01 09:00:00,77.0,4.8,2019-01-01T09:00:00,1.5,1026.2,d,715.26,21.14,992.95,,-1.3,0.0,3.6,333.038,340,333.04,81.96,2.6,155.93,5.9,0.0,3
2019-01-01 10:00:00,59.0,4.8,2019-01-01T10:00:00,5.0,1025.2,d,755.38,24.37,992.0,-36.0,-4.2,0.0,4.1,392.91,350,392.91,87.88,3.1,170.48,6.3,0.0,1
2019-01-01 11:00:00,53.0,4.8,2019-01-01T11:00:00,5.0,1024.2,d,759.68,24.75,991.15,-18.0,-4.2,0.0,4.1,399.94,345,399.94,88.53,7.3,185.65,7.3,0.0,0
2019-01-01 12:00:00,55.0,4.8,2019-01-01T12:00:00,5.0,1023.2,d,729.58,22.23,990.25,,-5.2,0.0,3.8,353.27,335,353.27,84.04,7.8,200.45,7.8,0.0,0
