,rh,wind_spd,timestamp_utc,vis,slp,pod,dni,elev_angle,pres,h_angle,dewpt,snow,uv,solar_rad,wind_dir,ghi,dhi,app_temp,azimuth,temp,precip,clouds
2019-01-01 00:00:00,85.0,4.0,2019-01-01T00:00:00,0.5,1024.4,n,0.0,-64.41,987.1,,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.6,48.64,4.0,0.0,70
2019-01-01 01:00:00,84.0,4.0,2019-01-01T01:00:00,0.5,1024.0,n,0.0,-54.87,994.3,-90.0,-1.3,0.0,0.0,0.0,40.0,0.0,0.0,-2.8,68.64,1.2,0.0,70
2019-01-01 02:00:00,83.0,4.4,2019-01-01T02:00:00,5.0,1025.0,n,0.0,-44.09,995.1,-90.0,-1.1,0.0,0.0,0.0,80.0,0.0,0.0,-2.8,82.01,1.4,0.0,71
2019-01-01 03:00:00,84.0,4.4,2019-01-01T03:00:00,5.0,1024.0,n,0.0,-32.98,994.2,-90.0,-0.1,0.0,0.0,0.0,20.0,0.0,0.0,-2.9,92.5,1.4,0.0,73
2019-01-01 04:00:00,84.0,4.0,2019-01-01T04:00:00,5.0,1024.0,n,0.0,-21.94,994.0,-90.0,-1.1,0.0,0.0,0.0,110.0,0.0,0.0,-2.6,101.84,1.3,0.0,73
2019-01-01 05:00:00,86.0,4.0,2019-01-01T05:00:00,5.0,1025.0,n,0.0,-11.26,994.8,-90.0,-2.1,0.0,0.0,0.0,0.0,0.0,0.0,-2.7,110.97,1.3,0.0,71
2019-01-01 06:00:00,86.0,4.0,2019-01-01T06:00:00,0.5,1025.9,n,0.0,-1.23,988.5,,-3.0,0.0,0.0,0.0,320.0,0.0,0.0,-0.1,120.51,3.4,0.0,67
2019-01-01 07:00:00,85.0,4.0,2019-01-01T07:00:00,0.5,1026.0,d,425.0,7.82,988.6,-90.0,-3.1,0.0,1.3,81.389,50.0,95.85,47.19,0.4,130.95,3.8,0.0,61
2019-01-01 08:00:00,83.0,4.4,2019-01-01T08:00:00,1.0,1026.1,d,623.73,15.45,988.8,-72.0,-0.1,0.0,2.5,226.255,0.0,228.15,69.64,0.8,142.69,4.3,0.0,26
2019-01-01 09:00:00,77.0,4.8,2019-01-01T09:00:00,1.5,1026.2,d,715.26,21.14,989.0,,-1.3,0.0,3.6,333.038,320.0,333.04,81.96,1.1,155.93,4.7,0.0,3
