,rh,wind_spd,timestamp_utc,vis,slp,pod,dni,elev_angle,pres,h_angle,dewpt,snow,uv,solar_rad,wind_dir,ghi,dhi,app_temp,azimuth,temp,precip,clouds
2019-01-01 00:00:00,85,6.8,2019-01-01T00:00:00,1.5,1025.7,n,0.0,-64.32,996.1,,0.0,0.0,0.0,0.0,40.0,0.0,0.0,-0.4,49.1,4.2,0.0,19
2019-01-01 01:00:00,84,6.8,2019-01-01T01:00:00,1.5,1024.0,n,0.0,-54.73,,,-1.3,0.0,0.0,0.0,20.0,0.0,0.0,-0.7,68.94,4.0,0.0,19
2019-01-01 02:00:00,83,6.8,2019-01-01T02:00:00,1.0,1025.0,n,0.0,-43.94,,,-1.1,0.0,0.0,0.0,40.0,0.0,0.0,-2.0,82.23,3.0,0.0,29
2019-01-01 03:00:00,84,6.8,2019-01-01T03:00:00,1.0,1025.9,n,0.0,-32.81,996.1,,-0.1,0.0,0.0,0.0,230.0,0.0,0.0,-2.4,92.68,2.7,0.0,35
2019-01-01 04:00:00,84,6.8,2019-01-01T04:00:00,1.0,1026.3,n,0.0,-21.77,996.4,,-1.1,0.0,0.0,0.0,110.0,0.0,0.0,-3.4,102.0,1.9,0.0,30
2019-01-01 05:00:00,86,6.8,2019-01-01T05:00:00,1.0,1026.6,n,0.0,-11.09,996.6,,-2.1,0.0,0.0,0.0,300.0,0.0,0.0,-4.5,111.12,1.0,0.0,24
2019-01-01 06:00:00,86,6.8,2019-01-01T06:00:00,1.0,1027.0,n,0.0,-1.06,996.7,,-3.0,0.0,0.0,0.0,10.0,0.0,0.0,-7.7,120.65,-1.5,0.0,22
2019-01-01 07:00:00,85,6.4,2019-01-01T07:00:00,1.0,1026.7,d,430.32,7.98,996.5,,-3.1,0.0,2.0,97.9847,340.0,98.38,47.79,-6.9,131.1,-1.0,0.0,21
2019-01-01 08:00:00,83,6.4,2019-01-01T08:00:00,1.5,1026.5,d,626.09,15.59,996.9,,-0.1,0.0,2.6,230.02,190.0,230.68,70.02,-0.5,142.86,4.0,0.0,19
2019-01-01 09:00:00,77,6.4,2019-01-01T09:00:00,1.5,1026.2,d,716.49,21.26,996.9,,-1.3,0.0,3.3,334.806,360.0,335.12,82.23,3.4,156.13,7.1,0.0,14
2019-01-01 10:00:00,59,6.4,2019-01-01T10:00:00,1.5,1025.3,d,755.97,24.45,996.0,,-4.2,0.0,3.9,394.275,350.0,394.31,88.07,3.3,170.7,7.0,0.0,7
2019-01-01 11:00:00,53,5.6,2019-01-01T11:00:00,1.5,1024.3,d,759.77,24.79,995.1,,-4.2,0.0,4.1,400.538,350.0,400.54,88.65,8.0,185.88,8.0,0.0,3
2019-01-01 12:00:00,55,5.6,2019-01-01T12:00:00,5.0,1023.4,d,729.16,22.23,994.3,,-5.2,0.0,3.8,353.06,350.0,353.06,84.07,8.0,200.67,8.0,0.0,1
2019-01-01 13:00:00,57,5.6,2019-01-01T13:00:00,5.0,1023.3,d,652.96,17.08,994.2,,-5.2,0.0,3.2,257.88,320.0,257.88,73.5,8.0,214.27,8.0,0.0,1
2019-01-01 14:00:00,57,5.2,2019-01-01T14:00:00,1.5,1023.3,d,491.08,9.86,994.0,,-5.0,0.0,2.4,129.583,350.0,129.59,54.18,2.5,226.37,6.0,0.0,6
2019-01-01 15:00:00,65,5.2,2019-01-01T15:00:00,1.0,1023.2,n,69.33,1.11,993.7,,-4.3,0.0,1.7,7.41232,350.0,7.44,13.83,0.6,237.09,4.5,0.0,21
2019-01-01 16:00:00,73,5.2,2019-01-01T16:00:00,1.0,1023.5,n,0.0,-8.72,993.9,,-4.3,0.0,0.0,0.0,360.0,0.0,0.0,0.0,246.81,4.0,0.0,33
2019-01-01 17:00:00,75,5.2,2019-01-01T17:00:00,1.5,1023.8,n,0.0,-19.28,994.0,,-4.3,0.0,0.0,0.0,240.0,0.0,0.0,-2.5,255.98,2.0,0.0,4
2019-01-01 18:00:00,79,4.8,2019-01-01T18:00:00,5.0,1024.1,n,0.0,-30.26,994.1,,-5.3,0.0,0.0,0.0,30.0,0.0,0.0,-4.5,265.2,0.2,0.0,1
2019-01-01 19:00:00,81,4.4,2019-01-01T19:00:00,1.5,1024.0,n,0.0,-41.39,993.9,,-4.2,0.0,0.0,0.0,40.0,0.0,0.0,-5.7,275.29,-0.9,0.0,2
2019-01-01 20:00:00,80,4.0,2019-01-01T20:00:00,5.0,1023.9,n,0.0,-52.31,993.7,,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.7,287.73,-2.0,0.0,1
2019-01-01 21:00:00,82,3.6,2019-01-01T21:00:00,5.0,1023.8,n,0.0,-62.29,993.5,,-5.3,0.0,0.0,0.0,140.0,0.0,0.0,-7.0,305.61,-2.5,0.0,1
2019-01-01 22:00:00,84,3.2,2019-01-01T22:00:00,5.0,1023.1,n,0.0,-69.51,992.8,,-6.2,0.0,0.0,0.0,0.0,0.0,0.0,-7.3,334.97,-3.0,0.0,1
2019-01-01 23:00:00,85,2.8,2019-01-01T23:00:00,5.0,1022.3,n,0.0,-70.43,991.9,,-6.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.1,15.95,-4.0,0.0,1
2019-01-02 00:00:00,86,2.8,2019-01-02T00:00:00,1.0,1021.6,n,0.0,-64.33,991.1,,-6.2,0.0,0.0,0.0,0.0,0.0,0.0,-9.8,48.79,-5.4,0.0,26
2019-01-02 01:00:00,88,2.8,2019-01-02T01:00:00,1.5,1023.1,n,0.0,-54.76,992.5,,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,-10.5,68.71,-6.0,0.0,18
2019-01-02 02:00:00,88,2.4,2019-01-02T02:00:00,1.5,1024.5,n,0.0,-43.98,993.8,,-8.2,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,82.05,-6.0,0.0,8
2019-01-02 03:00:00,88,2.4,2019-01-02T03:00:00,1.0,1026.0,n,0.0,-32.85,995.2,,-8.2,0.0,0.0,0.0,0.0,0.0,0.0,-10.7,92.53,-6.6,0.0,30
2019-01-02 04:00:00,86,2.4,2019-01-02T04:00:00,0.5,1023.9,n,0.0,-21.8,993.1,,-9.2,0.0,0.0,0.0,0.0,0.0,0.0,-11.2,101.86,-7.0,0.0,46
2019-01-02 05:00:00,87,2.8,2019-01-02T05:00:00,1.0,1021.8,n,0.0,-11.11,991.0,,-9.2,0.0,0.0,0.0,0.0,0.0,0.0,-12.9,110.98,-8.0,0.0,33
2019-01-02 06:00:00,88,2.8,2019-01-02T06:00:00,1.0,1019.7,n,0.0,-1.08,988.9,,-9.2,0.0,0.0,0.0,0.0,0.0,0.0,-13.1,120.52,-8.2,0.0,27
2019-01-02 07:00:00,87,2.8,2019-01-02T07:00:00,1.5,1019.1,d,430.3,7.98,988.7,,-9.2,0.0,2.2,98.3606,30.0,98.37,47.78,-9.3,130.97,-5.0,0.0,7
2019-01-02 08:00:00,87,2.8,2019-01-02T08:00:00,5.0,1018.6,d,626.47,15.61,988.3,,-6.2,0.0,3.0,231.03,0.0,231.03,70.07,-8.1,142.72,-4.0,0.0,0
2019-01-02 09:00:00,82,3.6,2019-01-02T09:00:00,1.5,1018.0,d,717.08,21.3,987.9,,-4.2,0.0,3.5,335.888,170.0,335.92,82.31,-6.6,155.99,-2.1,0.0,7
2019-01-02 10:00:00,78,4.8,2019-01-02T10:00:00,0.5,1017.1,d,756.76,24.52,987.4,,-4.2,0.0,2.5,351.7,300.0,395.58,88.19,-3.6,170.57,1.0,0.0,57
2019-01-02 11:00:00,79,5.6,2019-01-02T11:00:00,5.0,1016.1,d,760.82,24.88,986.4,,-3.1,0.0,1.7,235.49,230.0,402.26,88.81,-4.0,185.77,1.0,0.0,84
2019-01-02 12:00:00,76,6.4,2019-01-02T12:00:00,5.0,1015.2,d,730.59,22.34,985.6,,-3.1,0.0,1.4,147.021,350.0,355.13,84.27,-4.1,200.58,1.2,0.0,93
2019-01-02 13:00:00,75,6.0,2019-01-02T13:00:00,5.0,1015.4,d,655.1,17.2,985.9,,-3.1,0.0,1.1,102.062,300.0,260.17,73.78,-2.9,214.21,2.0,0.0,94
2019-01-02 14:00:00,80,5.2,2019-01-02T14:00:00,5.0,1015.5,d,494.96,9.99,986.1,,-2.1,0.0,0.9,54.5725,280.0,131.82,54.61,-1.3,226.33,3.0,0.0,93
2019-01-02 15:00:00,81,5.2,2019-01-02T15:00:00,5.0,1015.7,n,78.73,1.25,986.2,,-1.1,0.0,0.7,3.13881,260.0,8.55,14.81,-2.4,237.07,2.1,0.0,93
2019-01-02 16:00:00,80,5.2,2019-01-02T16:00:00,5.0,1015.8,n,0.0,-8.58,986.3,,-1.1,0.0,0.0,0.0,300.0,0.0,0.0,-2.5,246.8,2.0,0.0,93
2019-01-02 17:00:00,74,5.6,2019-01-02T17:00:00,5.0,1015.9,n,0.0,-19.14,986.5,,-2.1,0.0,0.0,0.0,360.0,0.0,0.0,-1.5,255.98,3.0,0.0,94
2019-01-02 18:00:00,71,5.2,2019-01-02T18:00:00,5.0,1016.0,n,0.0,-30.12,986.5,,-2.1,0.0,0.0,0.0,300.0,0.0,0.0,-2.3,265.2,2.2,0.0,93
2019-01-02 19:00:00,72,4.8,2019-01-02T19:00:00,5.0,1016.2,n,0.0,-41.26,986.6,,-3.1,0.0,0.0,0.0,260.0,0.0,0.0,-2.3,275.3,2.0,0.0,91
2019-01-02 20:00:00,74,4.8,2019-01-02T20:00:00,5.0,1016.4,n,0.0,-52.17,986.8,,-2.1,0.0,0.0,0.0,260.0,0.0,0.0,-2.3,287.73,2.0,0.0,92
2019-01-02 21:00:00,77,4.8,2019-01-02T21:00:00,5.0,1016.6,n,0.0,-62.15,986.9,,-1.1,0.2,0.0,0.0,260.0,0.0,0.0,-3.7,305.56,0.9,0.0,92
2019-01-02 22:00:00,79,4.8,2019-01-02T22:00:00,5.0,1016.5,n,0.0,-69.39,986.8,,-1.1,0.0,0.0,0.0,320.0,0.0,0.0,-3.6,334.77,1.0,0.0,93
2019-01-02 23:00:00,79,4.8,2019-01-02T23:00:00,5.0,1016.3,n,0.0,-70.36,986.5,,-1.1,0.0,0.0,0.0,330.0,0.0,0.0,-4.8,15.58,0.0,0.0,94
2019-01-03 00:00:00,77,5.2,2019-01-03T00:00:00,5.0,1016.2,n,0.0,-64.32,986.4,,-1.1,0.0,0.0,0.0,350.0,0.0,0.0,-5.0,48.47,0.0,0.0,93
2019-01-03 01:00:00,77,5.6,2019-01-03T01:00:00,5.0,1016.1,n,0.0,-54.78,986.3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2,68.47,0.0,0.0,92
2019-01-03 02:00:00,75,5.6,2019-01-03T02:00:00,5.0,1016.0,n,0.0,-44.01,986.2,,0.0,0.7,0.0,0.0,0.0,0.0,0.0,-5.2,81.86,0.0,0.0,93
2019-01-03 03:00:00,74,5.6,2019-01-03T03:00:00,5.0,1015.9,n,0.0,-32.89,986.1,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.4,92.36,-0.1,0.0,94
2019-01-03 04:00:00,73,6.0,2019-01-03T04:00:00,5.0,1016.3,n,0.0,-21.83,986.5,,-1.1,0.7,0.0,0.0,0.0,0.0,0.0,-5.5,101.71,0.0,0.0,94
2019-01-03 05:00:00,75,6.0,2019-01-03T05:00:00,5.0,1016.6,n,0.0,-11.14,986.8,,0.0,0.7,0.0,0.0,0.0,0.0,0.0,-5.5,110.84,0.0,0.0,95
2019-01-03 06:00:00,73,6.0,2019-01-03T06:00:00,5.0,1017.0,n,0.0,-1.09,987.2,,-1.1,0.7,0.0,0.0,250.0,0.0,0.0,-5.5,120.38,0.0,0.0,97
2019-01-03 07:00:00,74,6.4,2019-01-03T07:00:00,5.0,1017.2,d,430.51,7.98,987.4,,-1.1,0.7,0.7,27.0957,250.0,98.46,47.81,-5.6,130.83,0.0,0.0,99
2019-01-03 08:00:00,76,8.0,2019-01-03T08:00:00,5.0,1017.5,d,626.97,15.64,987.7,,-2.1,0.7,1.0,63.7105,290.0,231.51,70.13,-6.3,142.58,0.0,0.0,99
2019-01-03 09:00:00,73,9.6,2019-01-03T09:00:00,5.0,1017.7,d,717.76,21.35,987.9,,-2.1,0.7,1.2,92.7023,290.0,336.86,82.41,-6.1,155.85,0.6,0.0,99
2019-01-03 10:00:00,78,10.4,2019-01-03T10:00:00,5.0,1017.5,d,757.63,24.6,987.8,,-1.1,0.2,1.3,109.25,260.0,396.99,88.32,-5.8,170.44,1.0,0.0,99
2019-01-03 11:00:00,65,11.2,2019-01-03T11:00:00,5.0,1017.2,d,761.93,24.98,987.5,,-1.1,0.2,1.3,111.206,360.0,404.1,88.98,-6.1,185.66,1.0,0.0,99
2019-01-03 12:00:00,61,10.8,2019-01-03T12:00:00,5.0,1017.0,d,732.09,22.46,987.2,,-3.1,0.7,1.2,98.3356,330.0,357.33,84.49,-6.9,200.5,0.3,0.0,99
2019-01-03 13:00:00,60,10.8,2019-01-03T13:00:00,5.0,1017.2,d,657.33,17.33,987.4,,-3.1,1.0,1.0,78.7152,330.0,262.57,74.07,-7.8,214.15,-0.4,0.0,98
2019-01-03 14:00:00,61,10.4,2019-01-03T14:00:00,5.0,1017.5,d,498.94,10.13,987.6,,-2.1,1.5,0.9,52.6297,30.0,134.16,55.04,-8.5,226.3,-1.0,0.0,94
2019-01-03 15:00:00,63,10.4,2019-01-03T15:00:00,5.0,1017.7,n,88.52,1.39,987.9,,-2.1,1.0,0.7,4.03643,200.0,9.75,15.79,-7.3,237.06,-0.1,0.0,93
2019-01-03 16:00:00,61,10.4,2019-01-03T16:00:00,5.0,1018.3,n,0.0,-8.44,988.4,,-7.2,1.0,0.0,0.0,230.0,0.0,0.0,-8.0,246.79,-0.6,0.0,93
2019-01-03 17:00:00,61,10.0,2019-01-03T17:00:00,5.0,1018.9,n,0.0,-19.0,988.9,,-6.3,1.5,0.0,0.0,360.0,0.0,0.0,-8.4,255.98,-1.0,0.0,93
2019-01-03 18:00:00,59,10.0,2019-01-03T18:00:00,5.0,1019.5,n,0.0,-29.98,989.5,,-7.3,0.0,0.0,0.0,30.0,0.0,0.0,-8.1,265.22,-0.8,0.0,88
2019-01-03 19:00:00,59,9.6,2019-01-03T19:00:00,5.0,1019.8,n,0.0,-41.11,989.8,,-7.3,0.0,0.0,0.0,270.0,0.0,0.0,-8.2,275.31,-1.0,0.0,75
2019-01-03 20:00:00,62,9.2,2019-01-03T20:00:00,5.0,1020.2,n,0.0,-52.03,990.2,,-7.3,0.0,0.0,0.0,270.0,0.0,0.0,-8.1,287.73,-1.0,0.0,74
2019-01-03 21:00:00,63,8.8,2019-01-03T21:00:00,5.0,1020.5,n,0.0,-62.01,990.4,,-7.3,0.0,0.0,0.0,260.0,0.0,0.0,-8.9,305.52,-1.7,0.0,77
2019-01-03 22:00:00,64,8.4,2019-01-03T22:00:00,5.0,1020.9,n,0.0,-69.27,990.8,,-6.0,0.0,0.0,0.0,240.0,0.0,0.0,-9.1,334.58,-2.0,0.0,87
2019-01-03 23:00:00,65,8.0,2019-01-03T23:00:00,5.0,1021.2,n,0.0,-70.29,991.1,,-7.2,0.0,0.0,0.0,280.0,0.0,0.0,-8.9,15.21,-2.0,0.0,92
2019-01-04 00:00:00,66,8.0,2019-01-04T00:00:00,5.0,1021.6,n,0.0,-64.31,991.4,,-7.2,0.0,0.0,0.0,300.0,0.0,0.0,-9.3,48.14,-2.3,0.0,93
2019-01-04 01:00:00,66,8.0,2019-01-04T01:00:00,5.0,1021.6,n,0.0,-54.8,991.4,,-7.2,0.0,0.0,0.0,260.0,0.0,0.0,-8.9,68.23,-2.0,0.0,93
2019-01-04 02:00:00,63,7.6,2019-01-04T02:00:00,5.0,1021.6,n,0.0,-44.04,991.4,,-7.2,0.0,0.0,0.0,270.0,0.0,0.0,-8.8,81.67,-2.0,0.0,93
2019-01-04 03:00:00,64,7.6,2019-01-04T03:00:00,5.0,1021.6,n,0.0,-32.92,991.4,,-7.2,0.0,0.0,0.0,260.0,0.0,0.0,-9.5,92.2,-2.6,0.0,94
2019-01-04 04:00:00,64,7.2,2019-01-04T04:00:00,5.0,1022.0,n,0.0,-21.86,991.7,,-6.2,1.5,0.0,0.0,270.0,0.0,0.0,-9.9,101.56,-3.0,0.0,96
2019-01-04 05:00:00,64,6.8,2019-01-04T05:00:00,5.0,1022.4,n,0.0,-11.15,992.1,,-6.2,1.5,0.0,0.0,280.0,0.0,0.0,-9.7,110.69,-3.0,0.0,96
2019-01-04 06:00:00,71,6.8,2019-01-04T06:00:00,5.0,1022.8,n,0.0,-1.09,992.6,,-7.2,1.5,0.0,0.0,350.0,0.0,0.0,-8.6,120.23,-2.2,0.0,95
2019-01-04 07:00:00,74,7.2,2019-01-04T07:00:00,5.0,1023.7,d,430.95,7.99,993.5,,-9.3,1.5,0.8,38.7034,280.0,98.66,47.85,-8.6,130.68,-2.0,0.0,94
2019-01-04 08:00:00,64,7.2,2019-01-04T08:00:00,5.0,1024.6,d,627.59,15.67,994.4,,-9.3,1.5,1.1,91.0546,340.0,232.11,70.21,-8.6,142.44,-2.0,0.0,94
2019-01-04 09:00:00,57,6.8,2019-01-04T09:00:00,5.0,1025.5,d,718.53,21.41,995.3,,-9.3,1.5,1.3,132.567,330.0,337.93,82.52,-8.1,155.71,-1.8,0.0,94
